id,sex,age,After-school hours,Other study hours,Review time,Reading time,Social time,Homework score,Number of class participation,Attendance rate,Mental health status,Course difficulty rating,Test score
1,男,23,3,2.5,0.5,0.6,0.6,98,5,1,1,2,95
2,女,23,3.7,1.7,2,1,1,99,5,1,1,2,90
3,男,23,4.3,2.2,2.1,0.7,0.7,96,3,1,1,2,97
4,男,23,4.8,1.7,3.1,1.6,1.6,97,1,1,1,3,95
5,男,22,3.8,2,1.8,1.9,1.9,97,5,1,1,2,90
6,女,23,4.2,1.6,2.6,1.1,1.1,96,2,1,1,1,95
7,男,21,4.4,2.3,2.1,1.7,1.7,98,3,1,1,2,93
8,男,21,3.5,1.5,2,1.3,1.3,97,5,1,1,2,98
9,男,21,3.5,2.4,1.1,2.1,2.1,100,3,1,1,2,92
10,女,22,3.4,1.6,1.8,0.9,0.9,93,2,1,1,1,95
11,男,22,3.1,2,1.1,1.4,1.4,98,4,1,1,1,96
12,男,22,3.3,2.2,1.1,0.8,0.8,97,5,1,1,2,97
13,男,23,4.8,1.7,3.1,1.8,1.8,99,3,1,1,2,90
14,男,22,3.3,2.4,0.9,0.8,0.8,98,5,1,1,2,94
15,女,22,4.9,1.7,3.2,1.4,1.4,97,2,1,1,1,93
16,男,22,4,1.8,2.2,0.7,0.7,95,1,1,1,3,96
17,女,21,3.2,2,1.2,1.1,1.1,97,3,1,1,2,93
18,女,23,4.4,2.5,1.9,0.6,0.6,99,3,1,1,2,89
19,女,21,4.3,2.3,2,2,2,97,3,1,1,2,90
20,男,23,3.6,1.6,2,1.2,1.2,95,5,1,1,2,100
21,女,23,3,1.5,1.5,1.6,1.6,98,5,0.98,1,2,80
22,男,21,3.2,1.4,1.8,0.7,0.7,97,4,0.99,1,1,87
23,女,21,3.2,1.4,1.8,1.4,1.4,96,1,0.96,1,3,83
24,女,23,3.2,1.5,1.7,1.2,1.2,96,3,0.97,1,2,84
25,女,22,2.8,1.4,1.4,0.8,0.8,97,5,0.97,1,2,88
26,女,22,2.7,1.5,1.2,0.8,0.8,96,3,0.96,1,2,83
27,女,23,2.7,1.3,1.4,1.8,1.8,97,3,0.98,1,2,78
28,女,21,3.4,1.2,2.2,1.6,1.6,97,4,0.97,1,1,81
29,女,22,2.6,1.6,1,2,2,97,3,1,1,2,81
30,女,21,3.4,1.3,2.1,1.5,1.5,98,3,0.93,1,2,87
31,男,23,3.1,1.6,1.5,0.9,0.9,97,2,0.98,1,1,80
32,男,22,3.3,1.4,1.9,0.6,0.6,99,5,0.97,1,2,82
33,女,22,2.6,1.5,1.1,0.9,0.9,99,5,0.99,1,2,82
34,女,21,2.7,1.4,1.3,1.4,1.4,98,2,0.98,1,1,85
35,女,22,3.2,1.6,1.6,0.6,0.6,97,2,0.97,1,1,81
36,男,22,3.4,1.3,2.1,0.7,0.7,97,2,0.96,1,1,83
37,女,22,3,1.2,1.8,1.4,1.4,96,4,0.97,1,1,82
38,男,22,3.4,1.3,2.1,1.3,1.3,97,1,0.99,1,3,88
39,男,23,2.8,1.4,1.4,2.2,2.2,97,4,0.97,1,1,84
40,男,22,2.7,1.6,1.1,0.8,0.8,97,3,0.95,1,2,85
41,男,21,3.2,1.5,1.7,1.4,1.4,99,2,0.99,1,1,82
42,男,22,3.2,1.6,1.6,2.2,2.2,98,2,0.97,1,1,88
43,女,23,2.7,1.5,1.2,1.1,1.1,98,3,0.98,1,2,88
44,女,22,3.1,1.3,1.8,1.7,1.7,97,5,0.98,1,2,86
45,女,23,3.1,1.4,1.7,1.8,1.8,97,4,0.99,1,1,87
46,女,22,2.5,1.3,1.2,1.8,1.8,96,4,0.95,1,1,77
47,女,22,3.1,1.5,1.6,1,1,97,2,0.98,1,1,88
48,男,22,3.4,1.3,2.1,1.6,1.6,92,3,0.98,1,2,82
49,女,21,1.7,1,0.7,0.8,0.5,86,2,0.97,0,4,67
50,女,21,2.6,1.6,1,0.6,0.6,98,5,0.95,1,2,83
51,男,21,3.3,1.2,2.1,1.2,1.2,98,5,0.95,1,2,87
52,女,22,3.2,1.2,2,0.6,0.6,99,2,0.96,1,1,87
53,男,22,3.1,1.3,1.8,0.8,0.8,96,2,0.95,1,1,81
54,女,22,3.3,1.3,2,1.3,1.3,97,4,0.98,1,1,85
55,男,23,2.5,1.6,0.9,0.9,0.9,96,0,0.97,1,3,80
56,女,21,2.9,2.2,0.7,1.2,1.2,89,2,0.88,1,2,73
